blue,brightness,green,greenness,landcover,latitude,longitude,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
522,3001.9703,703,647.4979,4,40.06962865,-105.3052549,0.16283134,0.009610521,0.41660753,1996,822,1958,1437,-1436.709
552,3223.0272,728,647.0058,4,40.22401594,-105.3785839,0.096945554,-0.049919486,0.4265976,2065,830,2282,1700,-1795.5461
141,1955.6002,361,930.149,4,40.31464736,-105.3508433,0.4098095,0.22378607,0.635936,1739,387,1103,728,-691.4236
183,2872.7185,592,724.1417,4,40.26435757,-105.4356122,0.09260305,-0.049140047,0.4686907,1935,700,2135,1607,-1742.4383
455,1634.9501,521,72.4022,4,39.74019333,-105.2824384,0.12396694,-0.011185682,0.21763085,884,568,904,689,-569.2731
214,1652.9767,347,753.8857,4,40.7804244,-105.4012794,0.43180698,0.25941965,0.64015794,1454,319,855,577,-500.3955
550,2872.0489,750,395.4589,4,40.80969536,-105.3765574,0.104286626,-0.043502357,0.32718185,1726,875,1883,1400,-1379.2035
193,790.9673,215,-59.2286,4,40.70304305,-105.3447054,-0.28074247,-0.2773893,0.13970588,310,234,548,552,-516.1989
345,2303.9914,671,742.8666,4,39.71261988,-105.3782232,0.5136679,0.3403179,0.43409353,1855,732,913,596,-284.3387
433,2596.4605,589,419.1337,4,40.72545571,-105.4307892,0.062372882,-0.094219655,0.3733567,1567,715,1893,1383,-1488.1837
397,2482.3649,563,585.965,4,39.64739946,-105.4009452,0.18405546,0.057912666,0.42333335,1708,692,1521,1177,-1104.5809
480,2548.699,626,-73.1039,4,40.67268043,-105.4503271,-0.26773456,-0.26243004,0.1691023,1120,796,1917,1939,-1882.1566
372,2448.0373,554,518.8648,4,40.46626193,-105.4333752,0.13089374,-0.007718432,0.41585904,1607,663,1632,1235,-1243.0322
341,2613.6771,568,740.7051,4,40.53443386,-105.3325045,0.20206586,0.024484182,0.49859154,1862,623,1773,1236,-1307.9324
465,2060.4847,606,802.9513,4,40.15430667,-105.3711516,0.61354405,0.4296,0.5280034,1787,552,713,428,-125.1034
719,3773.4276,965,169.2539,4,40.47449771,-105.3095581,-0.09272468,-0.19680068,0.24016899,1908,1169,2843,2298,-2399.7177
259,2326.2332,524,839.6372,4,40.48645568,-105.4533278,0.3328525,0.15355805,0.54321504,1848,547,1356,925,-875.9364
217,1561.6565,372,490.1386,4,40.11726556,-105.3748228,0.332211,0.16773242,0.49120602,1187,405,846,595,-515.1708
205,2059.8526,442,1014.5587,4,40.48865759,-105.4430769,0.49192595,0.30801105,0.63769996,1894,419,1002,645,-519.8416
546,1283.2346,557,121.9471,4,39.81870376,-105.4205169,0.6312741,0.5913371,0.25557205,845,501,217,191,180.1725
216,1466.8985,327,599.0382,4,40.458047,-105.3873248,0.40981734,0.24810511,0.5966387,1235,312,744,517,-430.2874
257,2061.9106,445,849.503,4,40.18209598,-105.3864558,0.40056247,0.22919606,0.5809524,1743,462,1093,746,-650.5798
473,3123.5871,769,754.2506,4,40.48555236,-105.4763299,0.21392758,0.07817912,0.42371774,2179,882,1863,1411,-1297.2269
491,2816.1709,677,482.6336,4,40.9228336,-105.4053461,0.08675227,-0.06895626,0.39022437,1735,761,1992,1458,-1539.9702
516,3061.3557,668,56.0634,4,40.61210147,-105.2952973,-0.2426723,-0.26367137,0.24155845,1434,876,2461,2353,-2415.4951
1014,4668.5736,1416,143.3333,4,39.38604439,-104.4167409,0.02698145,-0.10143858,0.18223733,2436,1685,2986,2308,-2150.5065
132,1235.5017,236,830.7649,4,39.9807423,-105.2897507,0.689677,0.48552337,0.7786667,1334,166,462,245,-127.023
1205,4537.9212,1435,62.0976,4,39.451882,-104.1738616,0.06727689,-0.09083821,0.16048768,2332,1687,2798,2038,-1864.8143
290,1767.868,409,673.6606,4,40.01855521,-105.3008086,0.425636,0.24,0.55247736,1457,420,893,587,-483.9746
542,2722.2677,666,367.863,4,40.18151229,-105.3110415,0.048366014,-0.08132875,0.3490328,1604,774,1888,1456,-1485.813
345,1777.9375,443,170.3152,4,40.58490551,-105.355442,0.006066734,-0.08210332,0.29388815,995,543,1173,983,-939.3176
499,2314.7509,701,718.287,4,39.61780929,-105.2539794,0.5135357,0.35214365,0.4510421,1845,698,884,593,-263.7754
322,2044.8987,469,496.1574,4,40.32583129,-105.3152344,0.21750434,0.0380495,0.4351379,1405,553,1302,903,-904.1718
601,3194.66,799,212.0377,4,40.37862905,-105.2787254,-0.034561552,-0.15773736,0.24815361,1690,1018,2323,1811,-1874.507
381,2259.1099,504,786.12,4,40.32057721,-105.3561706,0.34284642,0.18253969,0.5327904,1788,545,1236,875,-775.5716
355,2440.2059,534,701.8853,4,40.17156052,-105.2923223,0.23525281,0.048584204,0.49320883,1759,597,1596,1089,-1130.2534
461,2936.7891,680,610.3091,4,40.56178316,-105.1898268,0.17560975,-0.009758603,0.38954955,1928,847,1966,1352,-1399.504
150,731.8604,191,260.4076,4,40.27534515,-105.3859275,0.4841169,0.29922137,0.5762483,584,157,315,203,-133.395
367,2403.6215,583,306.0053,4,40.28919591,-105.4428306,0.024944974,-0.09108653,0.32354334,1397,714,1677,1329,-1341.6819
554,3042.0801,736,365.1135,4,40.45228233,-105.2135767,0.023081362,-0.07124149,0.3118757,1773,930,2045,1693,-1645.7039
707,3342.1462,924,71.5628,4,39.71317928,-105.1146813,-0.06104079,-0.16382766,0.19044222,1669,1135,2323,1886,-1856.881
374,2680.6125,572,843.3885,4,40.53925301,-105.2421931,0.26789108,0.076633506,0.5103735,2002,649,1717,1156,-1188.9153
189,1407.6215,324,390.8544,4,39.99827521,-105.3038826,0.21532847,0.062765956,0.5045181,999,329,881,645,-634.1473
860,4477.277,1162,246.4655,4,40.13261073,-105.3034236,-0.04586039,-0.15049684,0.23153484,2351,1467,3184,2577,-2589.2458
295,2442.9945,599,611.0428,4,39.44123102,-104.2370881,0.23110308,0.051915947,0.4308533,1702,677,1534,1063,-1044.9917
290,2461.1827,533,840.6746,4,39.91157978,-105.2761211,0.26812816,0.07890961,0.55758077,1880,534,1605,1085,-1137.2513
630,3906.3783,895,521.5624,4,40.04540155,-105.0871011,0.042357273,-0.13306528,0.32281625,2264,1159,2959,2080,-2308.1747
244,1697.5038,441,499.3566,4,40.16355135,-105.3535872,0.32256383,0.17120443,0.47729918,1269,449,898,650,-541.7882
446,2132.8777,698,794.3596,4,39.62875526,-105.3102998,0.7085243,0.5475301,0.4682946,1864,675,545,318,125.028
