blue,brightness,green,greenness,landcover,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
347,3017.3526,630,2251.4177,agriculture,0.4384902,0.10684833,0.7154765,3087,512,2491,1205,-738.3744
376.5,2955.201,663.5,1822.2574,agriculture,0.45737815,0.21147086,0.7726042,3274,420,2131,1219,-779.045
349,1998.7371,696,1215.4524,agriculture,0.3979933,0.11187608,0.6975633,3553,633,2838,1530,-392.5331
360,2787.923,864,1668.3565,agriculture,0.4717608,0.24360573,0.7067637,3987,685,2425,1431,-689.2898
400,3155.0278,739,1948.4951,agriculture,0.5099609,0.21498127,0.75960076,4055,554,2620,1316,-920.7678
188,2832.8218,500.5,1750.8919,agriculture,0.75023943,0.48742574,0.8808274,4569,289.5,1574.5,652,-708.1273
332,3148.4915,638,2251.8126,agriculture,0.43276733,0.10337515,0.72581536,3122,496,2537,1236,-847.4066
283,3173.6541,649,1840.0229,agriculture,0.5325854,0.22240096,0.7671512,3039.5,400.5,1933.5,927,-903.5263
216,1550.2179,491,690.7334,agriculture,0.6831776,0.37062404,0.849076,3602,294,1654,678,-266.1165
364,2930.8298,764,1842.1799,agriculture,0.7199336,0.48119047,0.8791723,6221,400,2179,1013,-759.7436
237,3237.6204,788,1856.2318,agriculture,0.74648714,0.46010768,0.8900681,5966,347,2206,866,-925.6859
349,2822.1445,677.5,1996.7027,agriculture,0.46555364,0.17667958,0.7190044,3643,595.5,2549,1328.5,-737.2422
192,2982.089,440.5,1851.3558,agriculture,0.7412034,0.4762577,0.8841951,4181.5,257,1483.5,621.5,-794.1083
182,1520.2173,443,559.1714,agriculture,0.7782185,0.5837482,0.8878254,4931,293,1296,615,-275.7609
420,3217.4434,735.5,2452.3395,agriculture,0.45614034,0.22104631,0.75056493,4067,579.5,2594.5,1519,-755.9995
234,2856.9892,544,1723.0659,agriculture,0.69110644,0.43992215,0.8534753,4440,351,1727,811,-725.1138
280,1460.6831,594,396.7749,agriculture,0.5774041,0.27857393,0.811788,3658,380,2064,980,-233.25
253,1332.8999,625,372.0017,agriculture,0.6115137,0.30582288,0.81377435,4003,411,2128,965,-205.5452
246.5,1611.8654,616.5,751.7239,agriculture,0.70715326,0.42254162,0.8645647,4701.5,341.5,1908.5,806.5,-292.5579
303,3310.9335,585,2295.0364,agriculture,0.58030987,0.27580747,0.8342818,4029,364,2287,1070,-906.3814
391,2621.6941,687,2009.5986,agriculture,0.45703408,0.21717401,0.77554405,4018.5,508,2584.5,1497.5,-491.9491
361.5,3013.2643,627.5,2250.1008,agriculture,0.46082252,0.15033236,0.73853683,3374.5,507.5,2492.5,1245.5,-736.1013
366,3229.7123,700,1909.5218,agriculture,0.4639222,0.14955595,0.7049526,3236,560,2394,1185,-992.5942
220,1329.3326,619,369.2526,agriculture,0.6333406,0.38799033,0.7908371,3733,436,1646,838,-204.4128
243.5,3144.3533,524.5,2288.3467,agriculture,0.61494374,0.37876043,0.8088445,3804,402,1714,907,-829.5482
389.5,3052.0808,670.5,1766.8457,agriculture,0.32050487,0.05960485,0.6676248,3191,636,2832,1642,-826.7707
406,3203.7727,961,1845.3795,agriculture,0.6649687,0.44262296,0.85623884,5720,443,2210,1151,-912.4721
256,3414.7589,477,1939.3959,agriculture,0.7543325,0.5022831,0.8830744,4606,286,1526,645,-1013.6462
418.5,2850.6787,779.5,1755.2007,agriculture,0.5685203,0.32327136,0.8116857,4449.5,462.5,2275.5,1224,-718.138
